token	count
があつたときは	28
によつて	28
をもつて	16
があつた	15
にあつては	15
たつては	9
であつて	8
つた	7
のあつた	7
つて	6
があつたものとみなす	4
てがあつたときは	4
であつた	3
であつても	3
にわたつて	3
があつたことを	2
があつたとき	2
がなくなつたときは	2
されなかつた	2
することとなつたときは	2
たつて	2
つたときは	2
てがあつた	2
でなくなつた	2
によつてその	2
のあつたことを	2
のものにあつては	2
わつて	2
いがなくなつたときは	1
うことができなかつたときは	1
があつたために	1
があつたときに	1
があつたものとみなすことができる	1
があつて	1
があつてその	1
がかわつたときは	1
ができなかつた	1
ができなかつたことの	1
がないようになつたときは	1
けることがないようになつたときでも	1
げがあつたときは	1
これによつて	1
これらによつて	1
さかのぼつてその	1
されなかつたときは	1
しあつせんを	1
したものにあつては	1
してはならないのであつて	1
しなかつた	1
しなかつたものにも	1
しなくなつたとき	1
しなくなつたときは	1
すべきものであつた	1
することができなかつた	1
することができなかつたことを	1
することができなくなつた	1
することとなつた	1
することによつて	1
するものにあつては	1
するようなものであつてはならない	1
そのとつた	1
たつた	1
たつての	1
だつて	1
つたことによつて	1
つているときは	1
つてこれを	1
つてしなければならない	1
てることができることとなつた	1
となつてゐる	1
となることとなつてはならない	1
なつた	1
にあつてはその	1
によつてこれを	1
のみによつてこれを	1
までさかのぼつて	1
めなかつたときは	1
めることによつて	1
めるものでなかつた	1
らかとなつたときは	1
らかになつたときは	1
らなかつたとき	1
をしなかつたとき	1
をもつてこれを	1
